iter	Logloss
0	0.6601621023
1	0.6317785702
2	0.6006531108
3	0.5747226598
4	0.5551566995
5	0.5347633056
6	0.5182495606
7	0.5002879586
8	0.4836180552
9	0.4677837663
10	0.4541896466
11	0.4440908591
12	0.433953228
13	0.4234722072
14	0.4149634809
15	0.407732773
16	0.4004601297
17	0.3909288733
18	0.3845879927
19	0.3795500797
20	0.3720831063
21	0.3672718798
22	0.3604874529
23	0.3569396874
24	0.3525260105
25	0.3481647309
26	0.3448347698
27	0.3410846054
28	0.338232566
29	0.33541228
30	0.3323324314
31	0.3295973035
32	0.3268935442
33	0.3241713363
34	0.3219054204
35	0.3196400724
36	0.3176894879
37	0.3154339861
38	0.3131817786
39	0.3111144386
40	0.3093959018
41	0.3072998208
42	0.3052911767
43	0.3031298676
44	0.301464061
45	0.2999890753
46	0.2981930885
47	0.2968782034
48	0.2956933559
49	0.2947224607
50	0.2933447672
51	0.2921109107
52	0.2904674196
53	0.2896683422
54	0.2882471707
55	0.2873588313
56	0.2867467226
57	0.285049762
58	0.284414736
59	0.2836716168
60	0.2825141111
61	0.281740093
62	0.2809048233
63	0.2800597053
64	0.279227213
65	0.2781718065
66	0.277704176
67	0.2771991838
68	0.2762107612
69	0.2754952995
70	0.2749275417
71	0.2741297119
72	0.2736509997
73	0.2730264254
74	0.2722237213
75	0.2718278754
76	0.2715238455
77	0.2710115273
78	0.2705150429
79	0.2701072609
80	0.2694112961
81	0.2685943443
82	0.2679947282
83	0.2675249808
84	0.2670771523
85	0.2667351386
86	0.266316817
87	0.2658465356
88	0.265287453
89	0.26457061
90	0.2640416553
91	0.2636393853
92	0.263088561
93	0.2628069738
94	0.2623905654
95	0.2621269489
96	0.261717473
97	0.2612442501
98	0.2608885315
99	0.2604920551
100	0.2598183764
101	0.2594258702
102	0.2589656715
103	0.2583867797
104	0.2580994631
105	0.25773959
106	0.2573951485
107	0.2571262142
108	0.256804694
109	0.2565681777
110	0.2558082476
111	0.2554904922
112	0.2549293311
113	0.254588343
114	0.2541969482
115	0.2538547248
116	0.2536370603
117	0.2533156573
118	0.2530068853
119	0.2525560157
120	0.2521918255
121	0.2518344087
122	0.2516300578
123	0.251394561
