iter	Passed	Remaining
408	4918	7106
409	4927	7091
410	4937	7075
411	4948	7062
412	4959	7049
413	4969	7033
414	4980	7020
415	4991	7007
416	5001	6992
417	5011	6977
418	5021	6963
419	5031	6948
420	5043	6936
421	5053	6921
422	5063	6907
423	5075	6894
424	5083	6878
425	5093	6862
426	5104	6850
427	5114	6835
428	5124	6821
429	5133	6805
430	5144	6791
431	5154	6777
432	5165	6764
433	5175	6750
434	5188	6738
435	5199	6726
436	5209	6711
437	5221	6700
438	5231	6685
439	5242	6672
440	5257	6663
441	5266	6648
442	5279	6638
443	5291	6625
444	5300	6610
445	5312	6598
446	5322	6585
447	5333	6571
448	5345	6559
449	5355	6545
450	5364	6530
451	5374	6515
452	5384	6501
453	5396	6489
454	5407	6476
455	5419	6465
456	5429	6451
457	5439	6437
458	5456	6430
459	5471	6423
460	5484	6412
461	5496	6401
462	5506	6387
463	5519	6375
464	5528	6361
465	5540	6348
466	5552	6336
467	5561	6322
468	5572	6309
469	5583	6296
470	5593	6281
471	5604	6269
472	5616	6257
473	5626	6243
474	5637	6230
475	5649	6219
476	5661	6207
477	5672	6194
478	5684	6183
479	5693	6167
480	5703	6154
481	5713	6140
482	5726	6129
483	5737	6116
484	5750	6105
485	5760	6091
486	5770	6078
487	5784	6069
488	5795	6055
489	5809	6047
490	5820	6034
491	5833	6022
492	5842	6008
493	5851	5993
494	5860	5979
495	5872	5967
496	5883	5954
497	5893	5941
498	5904	5928
499	5914	5914
500	5924	5900
501	5935	5888
502	5947	5876
503	5957	5862
504	5968	5849
505	5979	5837
506	5989	5823
507	6000	5811
508	6013	5800
509	6023	5787
510	6035	5775
511	6046	5762
512	6055	5749
513	6065	5735
514	6075	5721
515	6084	5707
516	6096	5695
517	6106	5681
518	6116	5668
519	6128	5657
520	6139	5644
521	6149	5630
522	6161	5620
523	6172	5606
524	6184	5595
525	6195	5583
526	6205	5569
527	6216	5557
528	6228	5545
529	6237	5531
530	6248	5518
531	6260	5507
532	6271	5494
533	6282	5482
534	6294	5470
535	6304	5457
536	6314	5444
537	6326	5432
538	6337	5420
539	6348	5408
540	6360	5396
541	6370	5382
542	6380	5369
543	6396	5362
544	6412	5353
545	6423	5340
546	6434	5328
547	6453	5322
548	6468	5313
549	6478	5300
550	6488	5287
551	6497	5273
552	6508	5261
553	6517	5247
554	6530	5235
555	6540	5223
556	6550	5210
557	6561	5197
558	6571	5184
559	6583	5172
560	6593	5159
561	6604	5147
562	6614	5134
563	6625	5121
564	6635	5108
565	6648	5097
566	6658	5084
567	6673	5075
568	6703	5077
569	6712	5064
570	6729	5056
571	6746	5047
572	6758	5036
573	6770	5024
574	6780	5011
575	6792	5000
576	6809	4992
577	6822	4981
578	6833	4968
579	6843	4955
580	6855	4944
581	6865	4930
582	6877	4919
583	6891	4908
584	6903	4897
585	6914	4885
586	6925	4872
587	6937	4861
588	6948	4848
589	6959	4835
590	6977	4828
591	6990	4818
592	7005	4807
593	7014	4794
594	7027	4783
595	7038	4771
596	7051	4760
597	7068	4751
598	7080	4740
599	7091	4727
600	7103	4716
601	7113	4702
602	7123	4690
603	7136	4678
604	7146	4665
605	7156	4653
606	7168	4641
607	7179	4628
608	7189	4616
609	7202	4604
610	7211	4591
611	7222	4578
612	7233	4566
613	7245	4554
614	7255	4541
615	7268	4531
616	7280	4519
617	7290	4506
618	7300	4493
619	7310	4480
620	7321	4468
621	7334	4457
622	7348	4446
623	7360	4435
624	7369	4421
625	7382	4410
626	7393	4398
627	7404	4385
628	7417	4375
629	7435	4366
630	7452	4358
631	7474	4352
632	7507	4352
633	7536	4350
634	7551	4340
635	7560	4327
636	7571	4314
637	7583	4302
638	7605	4296
639	7616	4284
640	7625	4270
641	7639	4260
642	7651	4247
643	7665	4237
644	7676	4225
645	7687	4212
646	7697	4199
647	7710	4188
648	7729	4180
649	7741	4168
650	7753	4156
651	7764	4144
652	7775	4131
653	7786	4119
654	7797	4106
655	7806	4093
656	7816	4080
657	7828	4068
658	7847	4060
659	7859	4048
660	7875	4039
661	7890	4028
662	7908	4019
663	7917	4006
664	7942	4000
665	7957	3990
666	7971	3979
667	7986	3969
668	8001	3958
669	8016	3948
670	8031	3937
671	8055	3931
672	8066	3919
673	8080	3908
674	8092	3896
675	8102	3883
676	8113	3870
677	8125	3859
678	8136	3846
679	8148	3834
680	8164	3824
681	8178	3813
682	8192	3802
683	8206	3791
684	8221	3780
685	8234	3769
686	8245	3756
687	8258	3745
688	8268	3732
689	8284	3721
690	8294	3709
691	8307	3697
692	8317	3684
693	8327	3671
694	8338	3659
695	8357	3650
696	8368	3637
697	8377	3624
698	8390	3613
699	8400	3600
700	8410	3587
701	8424	3576
702	8433	3563
703	8445	3551
704	8456	3538
705	8466	3525
706	8477	3513
707	8489	3501
708	8510	3493
709	8523	3481
710	8537	3470
711	8555	3460
712	8566	3448
713	8576	3435
714	8588	3423
715	8598	3410
716	8608	3397
717	8621	3386
718	8631	3373
719	8642	3360
720	8654	3348
721	8664	3336
722	8678	3324
723	8690	3313
724	8703	3301
725	8713	3288
726	8724	3276
727	8736	3264
728	8746	3251
729	8762	3240
730	8771	3227
731	8783	3215
732	8795	3203
733	8807	3191
734	8819	3179
735	8829	3167
736	8840	3154
737	8855	3143
738	8870	3132
739	8884	3121
740	8895	3109
741	8910	3098
742	8921	3085
743	8933	3073
744	8943	3061
745	8953	3048
746	8964	3036
747	8974	3023
748	8986	3011
749	9004	3001
750	9018	2990
751	9027	2977
752	9037	2964
753	9049	2952
754	9060	2940
755	9070	2927
756	9083	2915
757	9093	2903
758	9103	2890
759	9115	2878
760	9126	2866
761	9137	2853
762	9149	2841
763	9158	2829
764	9169	2816
765	9182	2805
766	9192	2792
767	9203	2780
768	9215	2768
769	9225	2755
770	9236	2743
771	9250	2732
772	9261	2719
773	9273	2707
774	9283	2695
775	9294	2682
776	9307	2671
777	9322	2660
778	9332	2647
779	9346	2636
780	9356	2623
781	9365	2610
782	9377	2598
783	9386	2586
784	9396	2573
785	9405	2560
786	9429	2552
787	9439	2539
788	9449	2527
789	9461	2515
790	9471	2502
791	9485	2491
792	9496	2478
793	9507	2466
794	9519	2454
795	9528	2442
796	9538	2429
797	9551	2417
798	9561	2405
799	9571	2392
800	9581	2380
801	9596	2369
802	9608	2357
803	9621	2345
804	9631	2333
805	9643	2321
806	9659	2310
807	9670	2297
808	9680	2285
809	9692	2273
810	9702	2261
811	9716	2249
812	9730	2238
813	9745	2226
814	9756	2214
815	9768	2202
816	9779	2190
817	9792	2178
818	9802	2166
819	9813	2154
820	9823	2141
821	9838	2130
822	9851	2118
823	9861	2106
824	9874	2094
825	9884	2082
826	9894	2069
827	9907	2058
828	9921	2046
829	9930	2033
830	9941	2021
831	9952	2009
832	9961	1997
833	9974	1985
834	9985	1973
835	9998	1961
836	10009	1949
837	10022	1937
838	10032	1925
839	10043	1913
840	10056	1901
841	10070	1889
842	10084	1878
843	10093	1865
844	10105	1853
845	10114	1841
846	10125	1829
847	10134	1816
848	10148	1804
849	10160	1793
850	10171	1780
851	10181	1768
852	10196	1757
853	10208	1745
854	10222	1733
855	10235	1721
856	10245	1709
857	10255	1697
858	10268	1685
859	10279	1673
860	10289	1661
861	10303	1649
862	10313	1637
863	10333	1626
864	10345	1614
865	10356	1602
866	10369	1590
867	10378	1578
868	10389	1566
869	10415	1556
870	10429	1544
871	10439	1532
872	10451	1520
873	10461	1508
874	10473	1496
875	10486	1484
876	10498	1472
877	10509	1460
878	10522	1448
879	10535	1436
880	10547	1424
881	10557	1412
882	10566	1400
883	10577	1387
884	10586	1375
885	10612	1365
886	10621	1353
887	10633	1341
888	10643	1328
889	10653	1316
890	10666	1304
891	10676	1292
892	10686	1280
893	10699	1268
894	10708	1256
895	10720	1244
896	10740	1233
897	10754	1221
898	10770	1210
899	10785	1198
900	10799	1186
901	10808	1174
902	10819	1162
903	10831	1150
904	10841	1138
905	10855	1126
906	10869	1114
907	10882	1102
908	10892	1090
909	10904	1078
910	10914	1066
911	10923	1054
912	10936	1042
913	10948	1030
914	10961	1018
915	10971	1006
916	10985	994
917	10998	982
918	11010	970
919	11021	958
920	11032	946
921	11044	934
922	11054	922
923	11066	910
924	11078	898
925	11088	886
926	11099	874
927	11113	862
928	11123	850
929	11134	838
930	11144	825
931	11154	813
932	11166	801
933	11184	790
934	11197	778
935	11209	766
936	11219	754
937	11230	742
938	11244	730
939	11253	718
940	11264	706
941	11275	694
942	11286	682
943	11302	670
944	11317	658
945	11329	646
946	11342	634
947	11351	622
948	11363	610
949	11374	598
950	11386	586
951	11406	575
952	11422	563
953	11431	551
954	11443	539
955	11453	527
956	11463	515
957	11475	503
958	11486	491
959	11496	479
960	11507	466
961	11517	454
962	11528	442
963	11543	431
964	11560	419
965	11595	408
966	11614	396
967	11628	384
968	11640	372
969	11651	360
970	11661	348
971	11681	336
972	11692	324
973	11705	312
974	11715	300
975	11727	288
976	11738	276
977	11748	264
978	11758	252
979	11770	240
980	11781	228
981	11791	216
982	11803	204
983	11813	192
984	11831	180
985	11846	168
986	11857	156
987	11870	144
988	11880	132
989	11891	120
990	11902	108
991	11913	96
992	11924	84
993	11936	72
994	11946	60
995	11957	48
996	11970	36
997	11981	24
998	11992	12
999	12004	0
